github username,home folder name,group,group leader
22malvina,,,
AAEltsov,,,
AAKesareva,,,
ADBukreev,,,
ADKazdym,,2,*
Aldnoa19,vpetrov,,
ALZharin,,,
AMAbduhanov,,,
amtsu,AMTsurkov,0,
andreev-aleksey,,,
andreev-alexander,,,
Andreyvolodinpro, , ,
Andromary,mvandreeva,1,
AndVlIv,, 2,
AnnaMargolina, aomargolina,2,
ANNMorozova676,avmorozova,3,
anton-kuvalda,,2,
Anzhela-Volodina ,,,
arisova,aaarisova,9,
AVGorbatenko,,,
boberushka,,,
cipperOK,,,
deep4ik,,,
dimer404,,,
DN151991,,,
drrryfox,,,
EANabatov,eanabatov,3,
EAWolkov,,,
ekaterinacu,,,
ERSaliev,,,
find-y,yaasuster,,
il-62,,,
irsalieva,irsalieva,8,
IRSalieva,,,
isergy,saivanov,9,
JATashpulatov,jatashpulatov,3,
Jetfriday,,,
jutkaris,,,
koshakm5,,,
mari-grisha,,,
Mcroosh,,,
misterdx, avlotsmanov,8, * 
okorch, oekorchevaya,8,
Optovik210,,,
p1em4g,,,
ParnishkaTony,,,
ptdltt,dptimofeev,,
PterOculus iaalexeev,,,
Re-gi-na, rmarfenkova,9, *
RomanTarasov91,rstarasov,1,
ruslanyunusov,,,
ruslan-yusupov-open,,2,
SAMalcev,,,
ScherbakovaTA,,8,
Sergey-1990, salyashenko,,
Slash3086, kaanikin,9,
StasGri,,,
SVAlekseyeva,,,
ValliTim, vstimofeeva,,
theRate,aemareev,3,*
VeraYohanga, vstarasova,2,
VladimirVBykov,vvbykov,3,
vssachenko, VSSachenko, ,
Rikacom ,ismatrosova,7,
