login in github,home folder in project,hw-1,hw-2,hw-3,hw-4,hw-5,hw-6,hw-7,hw-8,hw-9,hw-11,hw-12,hw-13,hw-14,hw-15,hw-16,hw-17,hw-18,hw-19,hw-20,hw-21,hw-22,hw-23,hw-24,hw-25,hw-26,hw-27,hw-28,hw-29,hw-30
22malvina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAEltsov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAKesareva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBukreev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADKazdym,,95%,100%,100%,100%,55,0,0,,,,,,,,,,,,,,,,,,,,,,
Aldnoa19,vpetrov,100,100,100,100,75,0,0,0,,,,,,,,,,,,,,,,,,,,,
ALZharin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAbduhanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amtsu,AMTsurkov,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
andreev-aleksey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andreev-alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreyvolodinpro,,100%,100%,100%,100%,100%,100%,100,100,0,,,,,,,,,,,,,,,,,,,,
Andromary,mvandreeva,100,100,100,100,100,100,100,100,100,10,100,,,,,,,,,,,,,,,,,,
AndVlIv,,80%,70%,100%,100%,100%,90%,,,,,,,,,,,,,,,,,,,,,,,
AnnaMargolina,aomargolina,100%,100%,100%,100%,82%,10%,30%,0%,,,,,,,,,,,,,,,,,,,,,
AnnMorozova676,avmorozova,100%,100%,100%,100,100%,100%,97,0%,100%,100,0,,,,,,,,,,,,,,,,,,
anton-kuvalda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anzhela-Volodina,,100,100,100,100,100,30,100,100,100,0,30,0,0,0,30,,,,,,,,,,,,,,
arisova,aaarisova,100,100,100,100,100,100,100,100,100,100,100,50,,,,,,,,,,,,,,,,,
AVGorbatenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boberushka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cipperOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deep4ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimer404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DN151991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drrryfox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EANabatov,eanabatov,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
